Iteration,Timestep,FromStratumID,FromSecondaryStratumID,FromTertiaryStratumID,FromStateClassID,FromAgeMin,FromStockTypeID,ToStratumID,ToStateClassID,ToAgeMin,ToStockTypeID,TransitionGroupID,StateAttributeTypeID,FlowTypeID,TargetType,Multiplier,TransferToStratumID,TransferToSecondaryStratumID,TransferToTertiaryStratumID,TransferToStateClassID,TransferToAgeMin
,,,,,Forest:Aspen/Birch Group,,DOM: Belowground Slow,,,,Atmosphere,,,Emission: BG Slow -> Atmosphere,,1.0,,,,,
,,,,,Forest:Aspen/Birch Group,,DOM: Belowground Very Fast,,,,Atmosphere,,,Emission: BG Very Fast -> Atmosphere,,1.0,,,,,
,,,,,Forest:Aspen/Birch Group,,DOM: Belowground Very Fast,,,,DOM: Belowground Slow,,,Decay: BG Very Fast -> BG Slow,,1.0,,,,,
,,,,,Forest:Aspen/Birch Group,,DOM: Snag Branch,,,,Atmosphere,,,Emission: Snag Branch -> Atmosphere,,1.0,,,,,
,,,,,Forest:Aspen/Birch Group,,DOM: Snag Branch,,,,DOM: Aboveground Fast,,,Transfer: Snag Branch -> AG Fast,,1.0,,,,,
,,,,,Forest:Aspen/Birch Group,,DOM: Snag Branch,,,,DOM: Aboveground Slow,,,Decay: Snag Branch -> AG Slow,,1.0,,,,,
,,,,,Forest:Aspen/Birch Group,,DOM: Snag Stem,,,,Atmosphere,,,Emission: Snag Stem -> Atmosphere,,1.0,,,,,
,,,,,Forest:Aspen/Birch Group,,DOM: Snag Stem,,,,DOM: Aboveground Medium,,,Transfer: Snag Stem -> AG Medium,,1.0,,,,,
,,,,,Forest:Aspen/Birch Group,,DOM: Snag Stem,,,,DOM: Aboveground Slow,,,Decay: Snag Stem -> AG Slow,,1.0,,,,,
,,,,,Forest:California Mixed Conifer Group,,Atmosphere,,,,Biomass: Coarse Root,,NPP,Net Growth Forest: Atmosphere -> Coarse Roots,,1.0,,,,,
,,,,,Forest:California Mixed Conifer Group,,Atmosphere,,,,Biomass: Fine Root,,NPP,Net Growth Forest: Atmosphere -> Fine Roots,,1.0,,,,,
,,,,,Forest:California Mixed Conifer Group,,Atmosphere,,,,Biomass: Foliage,,NPP,Net Growth Forest: Atmosphere -> Foliage,,1.0,,,,,
